il,ilce,subeVar
Adana,Aladağ,false
Adana,Ceyhan,true
Adana,Çukurova,true
Adana,Feke,false
Adana,İmamoğlu,false
Adana,Karaisalı,false
Adana,Karataş,false
Adana,Kozan,true
Adana,Pozantı,false
Adana,Saimbeyli,false
Adana,Sarıçam,true
Adana,Seyhan,true
Adana,Tufanbeyli,false
Adana,Yumurtalık,false
Adana,Yüreğir,true
Adıyaman,Besni,true
Adıyaman,Çelikhan,false
Adıyaman,Gerger,false
Adıyaman,Gölbaşı,false
Adıyaman,Kahta,true
Adıyaman,Merkez,true
Adıyaman,Samsat,false
Adıyaman,Sincik,false
Adıyaman,Tut,false
Afyonkarahisar,Başmakçı,false
Afyonkarahisar,Bayat,false
Afyonkarahisar,Bolvadin,true
Afyonkarahisar,Çay,true
Afyonkarahisar,Çobanlar,false
Afyonkarahisar,Dazkırı,false
Afyonkarahisar,Dinar,true
Afyonkarahisar,Emirdağ,false
Afyonkarahisar,Evciler,false
Afyonkarahisar,Hocalar,false
Afyonkarahisar,İhsaniye,false
Afyonkarahisar,İscehisar,false
Afyonkarahisar,Kızılören,false
Afyonkarahisar,Merkez,true
Afyonkarahisar,Sandıklı,true
Afyonkarahisar,Sinanpaşa,false
Afyonkarahisar,Sultandağı,false
Afyonkarahisar,Şuhut,false
Ağrı,Diyadin,false
Ağrı,Doğubayazıt,false
Ağrı,Eleşkirt,false
Ağrı,Hamur,false
Ağrı,Merkez,true
Ağrı,Patnos,true
Ağrı,Taşlıçay,false
Ağrı,Tutak,false
Aksaray,Ağaçören,false
Aksaray,Eskil,false
Aksaray,Gülağaç,false
Aksaray,Güzelyurt,false
Aksaray,Merkez,true
Aksaray,Ortaköy,false
Aksaray,Sarıyahşi,false
Amasya,Göynücek,false
Amasya,Gümüşhacıköy,false
Amasya,Hamamözü,false
Amasya,Merkez,true
Amasya,Merzifon,true
Amasya,Suluova,true
Amasya,Taşova,false
Ankara,Akyurt,true
Ankara,Altındağ,true
Ankara,Ayaş,false
Ankara,Bala,false
Ankara,Beypazarı,true
Ankara,Çamlıdere,false
Ankara,Çankaya,true
Ankara,Çubuk,true
Ankara,Elmadağ,true
Ankara,Etimesgut,true
Ankara,Evren,false
Ankara,Gölbaşı,true
Ankara,Güdül,false
Ankara,Haymana,false
Ankara,Kalecik,false
Ankara,Kazan,true
Ankara,Keçiören,true
Ankara,Kızılcahamam,false
Ankara,Mamak,true
Ankara,Nallıhan,false
Ankara,Polatlı,true
Ankara,Pursaklar,true
Ankara,Sincan,true
Ankara,Şereflikoçhisar,false
Ankara,Yenimahalle,true
Antalya,Akseki,false
Antalya,Aksu,true
Antalya,Alanya,true
Antalya,Demre,true
Antalya,Döşemealtı,false
Antalya,Elmalı,false
Antalya,Finike,false
Antalya,Gazipaşa,true
Antalya,Gündoğmuş,false
Antalya,İbradı,false
Antalya,Kaş,false
Antalya,Kemer,true
Antalya,Kepez,true
Antalya,Konyaaltı,true
Antalya,Korkuteli,true
Antalya,Kumluca,true
Antalya,Manavgat,true
Antalya,Muratpaşa,true
Antalya,Serik,true
Ardahan,Çıldır,false
Ardahan,Damal,false
Ardahan,Göle,false
Ardahan,Hanak,false
Ardahan,Merkez,true
Ardahan,Posof,false
Artvin,Ardanuç,false
Artvin,Arhavi,true
Artvin,Borçka,true
Artvin,Hopa,true
Artvin,Merkez,true
Artvin,Murgul,false
Artvin,Şavşat,false
Artvin,Yusufeli,false
Aydın,Bozdoğan,false
Aydın,Buharkent,false
Aydın,Çine,true
Aydın,Didim,true
Aydın,Efeler,true
Aydın,Germencik,false
Aydın,İncirliova,true
Aydın,Karacasu,false
Aydın,Karpuzlu,false
Aydın,Koçarlı,false
Aydın,Köşk,false
Aydın,Kuşadası,true
Aydın,Kuyucak,false
Aydın,Merkez,false
Aydın,Nazilli,true
Aydın,Söke,true
Aydın,Sultanhisar,false
Aydın,Yenipazar,false
Balıkesir,Altıeylül,true
Balıkesir,Ayvalık,true
Balıkesir,Balya,false
Balıkesir,Bandırma,true
Balıkesir,Bigadiç,false
Balıkesir,Burhaniye,true
Balıkesir,Dursunbey,false
Balıkesir,Edremit,true
Balıkesir,Erdek,true
Balıkesir,Gömeç,false
Balıkesir,Gönen,true
Balıkesir,Havran,false
Balıkesir,İvrindi,false
Balıkesir,Karesi,true
Balıkesir,Kepsut,false
Balıkesir,Manyas,false
Balıkesir,Marmara,false
Balıkesir,Merkez,false
Balıkesir,Savaştepe,true
Balıkesir,Sındırgı,false
Balıkesir,Susurluk,false
Bartın,Amasra,false
Bartın,Kurucaşile,false
Bartın,Merkez,true
Bartın,Ulus,false
Batman,Beşiri,false
Batman,Gercüş,false
Batman,Hasankeyf,false
Batman,Kozluk,false
Batman,Merkez,true
Batman,Merkez,true
Batman,Sason,false
Bayburt,Aydıntepe,false
Bayburt,Demirözü,false
Bayburt,Merkez,true
Bilecik,Bozüyük,true
Bilecik,Gölpazarı,false
Bilecik,İnhisar,false
Bilecik,Merkez,true
Bilecik,Osmaneli,false
Bilecik,Pazaryeri,false
Bilecik,Söğüt,false
Bilecik,Yenipazar,false
Bingöl,Adaklı,false
Bingöl,Genç,false
Bingöl,Karlıova,false
Bingöl,Kiğı,false
Bingöl,Merkez,true
Bingöl,Solhan,false
Bingöl,Yayladere,false
Bingöl,Yedisu,false
Bitlis,Adilcevaz,false
Bitlis,Ahlat,false
Bitlis,Güroymak,false
Bitlis,Hizan,false
Bitlis,Merkez,true
Bitlis,Mutki,false
Bitlis,Tatvan,true
Bolu,Dörtdivan,false
Bolu,Gerede,true
Bolu,Göynük,false
